publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Journal of Military Ethics	1502-7570	1502-7589	2002-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=smil20		smil20		fulltext		Routledge	Serial								P
Journal of Modern Chinese History	1753-5654	1753-5662	2007-08	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rmoh20		rmoh20		fulltext		Routledge	Serial								P
Journal of Modern Italian Studies	1354-571X	1469-9583	1997-03	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rmis20		rmis20		fulltext		Routledge	Serial								P
Journal of Modern Jewish Studies	1472-5886	1472-5894	2002-05	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cmjs20		cmjs20		fulltext		Routledge	Serial								P
Journal of Modern Optics	0950-0340	1362-3044	1987-01	34	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tmop20		tmop20		fulltext		Taylor & Francis	Serial							10.1080/tmop19	P
Journal of Moral Education	0305-7240	1465-3877	1997-03	26	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cjme20		cjme20		fulltext		Routledge	Serial								P
Journal of Motor Behavior	0022-2895	1940-1027	1997-03	29	1				http://www.tandfonline.com/openurl?genre=journal&stitle=vjmb20		vjmb20		fulltext		Routledge	Serial								P
Journal of Multicultural Discourses	1744-7143	1747-6615	2006-07	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rmmd20		rmmd20		fulltext		Routledge	Serial								P
Journal of Multicultural Social Work	1042-8224		1997-04	4	4	2000-09	8	3-4	http://www.tandfonline.com/openurl?genre=journal&stitle=wzmu20		wzmu20		fulltext		Routledge	Serial								P
Journal of Multilingual and Multicultural Development	0143-4632	1747-7557	1997-01	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rmmm20		rmmm20		fulltext		Routledge	Serial								P
Journal of Museum Education	1059-8650	2051-6169	1997-01	22	2-3				http://www.tandfonline.com/openurl?genre=journal&stitle=rjme20		rjme20		fulltext		Routledge	Serial							10.1080/rjme19	P
Journal of Musicological Research	0141-1896	1547-7304	1997-01	16	3				http://www.tandfonline.com/openurl?genre=journal&stitle=gmur20		gmur20		fulltext		Routledge	Serial							10.1080/gmur19	P
Journal of Muslim Minority Affairs	1360-2004	1469-9591	1997-04	17	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cjmm20		cjmm20		fulltext		Routledge	Serial							10.1080/cjmm19	P
Journal of Natural Fibers	1544-0478	1544-046X	2004-09	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wjnf20		wjnf20		fulltext		Taylor & Francis	Serial								P
Journal of Natural History	0022-2933	1464-5262	1967-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tnah20		tnah20		fulltext		Taylor & Francis	Serial							10.1080/tnah19	P
Journal of Natural Resources Policy Research	1939-0459	1939-0467	2009-03	1	2				http://www.tandfonline.com/openurl?genre=journal&stitle=rjnr20		rjnr20		fulltext		Routledge	Serial								P
Journal of Neurotherapy	1087-4208	1530-017X	1997-04	2	2				http://www.tandfonline.com/openurl?genre=journal&stitle=wneu20		wneu20		fulltext		Routledge	Serial								P
Journal of New Music Research	0929-8215	1744-5027	1997-03	26	1				http://www.tandfonline.com/openurl?genre=journal&stitle=nnmr20		nnmr20		fulltext		Routledge	Serial							10.1080/nnmr19	P
Journal of New Seeds	1522-886X	1522-9025	2004-08	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wjns20		wjns20		fulltext		Taylor & Francis	Serial								P
Journal of Nonlinear Mathematical Physics	1402-9251	1776-0852	1997-01	4	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=tnmp20		tnmp20		fulltext		Taylor & Francis	Serial								P
Journal of Nonparametric Statistics	1048-5252	1029-0311	1997-01	7	3				http://www.tandfonline.com/openurl?genre=journal&stitle=gnst20		gnst20		fulltext		Taylor & Francis	Serial								P
Journal of Nonprofit & Public Sector Marketing	1049-5142	1540-6997	1997-02	4	4				http://www.tandfonline.com/openurl?genre=journal&stitle=wnon20		wnon20		fulltext		Routledge	Serial								P
Journal of Nuclear Science and Technology	0022-3131	1881-1248	1997-01	34	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tnst20		tnst20		fulltext		Taylor & Francis	Serial								P
Journal of Nutrition For the Elderly	0163-9366	1540-8566	1997-05	16	2	2010-11	29	4	http://www.tandfonline.com/openurl?genre=journal&stitle=wjne20		wjne20		fulltext		Routledge	Serial								P
Journal of Nutrition in Gerontology and Geriatrics	2155-1197	2155-1200	2011-02	30	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wjne21		wjne21		fulltext		Routledge	Serial							10.1080/wjne20	P
Journal of Nutrition in Recipe & Menu Development	1055-1379		1998-03	3	1	2005-11	3	3-4	http://www.tandfonline.com/openurl?genre=journal&stitle=wznr20		wznr20		fulltext		Taylor & Francis	Serial								P
Journal of Occupational Science	1442-7591	2158-1576	1997-04	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rocc20		rocc20		fulltext		Routledge	Serial								P
Journal of Occupational Therapy, Schools, & Early Intervention	1941-1243	1941-1251	2008-06	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wjot20		wjot20		fulltext		Routledge	Serial								P
Journal of Occupational and Environmental Hygiene	1545-9624	1545-9632	2004-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uoeh20		uoeh20		fulltext		Taylor & Francis	Serial							10.1080/uaih20,10.1080/uaoh20	P
Journal of Offender Rehabilitation	1050-9674	1540-8558	1997-05	24	3-4				http://www.tandfonline.com/openurl?genre=journal&stitle=wjor20		wjor20		fulltext		Routledge	Serial							10.1080/wzjo20	P
Journal of Operational Oceanography	1755-876X	1755-8778	2008-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tjoo20		tjoo20		fulltext		Taylor & Francis	Serial								P
Journal of Organic Semiconductors	2160-6099	2160-6110	2013-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tjos20		tjos20		fulltext		Taylor & Francis	Serial								F
Journal of Organizational Behavior Management	0160-8061	1540-8604	1997-02	17	1				http://www.tandfonline.com/openurl?genre=journal&stitle=worg20		worg20		fulltext		Routledge	Serial								P
Journal of Organizational Computing and Electronic Commerce	1091-9392	1532-7744	1997-03	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hoce20		hoce20		fulltext		Taylor & Francis	Serial							10.1080/hoce19	P
Journal of Parametrics	1015-7891		1997-03	17	1	2007-03	26	1	http://www.tandfonline.com/openurl?genre=journal&stitle=uzpa20		uzpa20		fulltext		Taylor & Francis	Serial								P
Journal of Peace Education	1740-0201	1740-021X	2004-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cjpe20		cjpe20		fulltext		Routledge	Serial								P
Journal of Peacebuilding & Development	1542-3166	2165-7440	2002-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjpd20		rjpd20		fulltext		Routledge	Serial								P
Journal of Personal and Interpersonal Loss	1081-1443		1997-01	2	1	2000-10	5	4	http://www.tandfonline.com/openurl?genre=journal&stitle=upil19		upil19		fulltext		Routledge	Serial								P
Journal of Personality Assessment	0022-3891	1532-7752	1997-02	68	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hjpa20		hjpa20		fulltext		Routledge	Serial							10.1080/hzpa20	P
Journal of Physical Education, Recreation & Dance	0730-3084	2168-3816	1997-01	68	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ujrd20		ujrd20		fulltext		Routledge	Serial							10.1080/ujrd19	P
Journal of Plant Interactions	1742-9145	1742-9153	2005-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tjpi20		tjpi20		fulltext		Taylor & Francis	Serial								F
Journal of Plant Nutrition	0190-4167	1532-4087	1997-01	20	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lpla20		lpla20		fulltext		Taylor & Francis	Serial								P
Journal of Poetry Therapy	0889-3675	1567-2344	2003-03	16	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tjpt20		tjpt20		fulltext		Routledge	Serial								P
Journal of Police Crisis Negotiations	1533-2586	1533-2594	2001-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wpcn20		wpcn20		fulltext		Routledge	Serial								P
Journal of Policing, Intelligence and Counter Terrorism	1833-5330	2159-5364	2006-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rpic20		rpic20		fulltext		Routledge	Serial								P
Journal of Policy Practice	1558-8742	1558-8750	2006-04	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wjpp20		wjpp20		fulltext		Routledge	Serial							10.1080/wzsp20	P
Journal of Policy Research in Tourism, Leisure and Events	1940-7963	1940-7971	2009-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rprt20		rprt20		fulltext		Routledge	Serial								P
Journal of Political Ideologies	1356-9317	1469-9613	1997-02	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cjpi20		cjpi20		fulltext		Routledge	Serial								P
Journal of Political Marketing	1537-7857	1537-7865	2002-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wplm20		wplm20		fulltext		Routledge	Serial								P
Journal of Political Power	2158-379X	2158-3803	2011-04	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rpow21		rpow21		fulltext		Routledge	Serial							10.1080/rpow20	P
Journal of Political Science Education	1551-2169	1551-2177	2005-02	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=upse20		upse20		fulltext		Routledge	Serial								P
Journal of Popular Film and Television	0195-6051	1930-6458	1997-01	24	4				http://www.tandfonline.com/openurl?genre=journal&stitle=vjpf20		vjpf20		fulltext		Routledge	Serial							10.1080/vzpf20	P
Journal of Post Keynesian Economics	0160-3477	1557-7821	1997-03	19	3				http://www.tandfonline.com/openurl?genre=journal&stitle=mpke20		mpke20		fulltext		Routledge	Serial								P
Journal of Postcolonial Writing	1744-9855	1744-9863	2005-05	41	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjpw20		rjpw20		fulltext		Routledge	Serial							10.1080/rjpw19	P
Journal of Poverty	1087-5549	1540-7608	1997-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wpov20		wpov20		fulltext		Routledge	Serial								P
Journal of Power	1754-0291	1754-0305	2008-04	1	1	2010-12	3	3	http://www.tandfonline.com/openurl?genre=journal&stitle=rpow20		rpow20		fulltext		Routledge	Serial								P
Journal of Prevention & Intervention in the Community	1085-2352	1540-7330	1997-01	14	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=wpic20		wpic20		fulltext		Routledge	Serial							10.1080/wzpe20	P
Journal of Private International Law	1744-1048	1757-8418	2005-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rpil20		rpil20		fulltext		Routledge	Serial								P
Journal of Professional Services Marketing	0748-4623		1997-05	15	2	2000-09	21	2	http://www.tandfonline.com/openurl?genre=journal&stitle=wzps20		wzps20		fulltext		Routledge	Serial								P
Journal of Progressive Human Services	1042-8232	1540-7616	1997-01	7	2				http://www.tandfonline.com/openurl?genre=journal&stitle=wphs20		wphs20		fulltext		Routledge	Serial								P
Journal of Promotion Management	1049-6491	1540-7594	1997-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wjpm20		wjpm20		fulltext		Routledge	Serial								P
Journal of Property Research	0959-9916	1466-4453	1996-01	13	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjpr20		rjpr20		fulltext		Routledge	Serial							10.1080/rjpr19	P
Journal of Psychoactive Drugs	0279-1072	2159-9777	1997-03	29	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ujpd20		ujpd20		fulltext		Routledge	Serial								P
Journal of Psychological Trauma	1932-2887	1932-2895	2007-08	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wpst20		wpst20		fulltext		Routledge	Serial							10.1080/wztp20	P
Journal of Psychology & Human Sexuality	0890-7064		1997-01	9	1	2007-01	18	4	http://www.tandfonline.com/openurl?genre=journal&stitle=wzph20		wzph20		fulltext		Routledge	Serial								P
Journal of Psychology and Financial Markets	1520-8834		2000-03	1	1	2002-12	3	4	http://www.tandfonline.com/openurl?genre=journal&stitle=hbhf19		hbhf19		fulltext		Routledge	Serial								P
Journal of Psychology in Africa	1433-0237	1815-5626	2006-01	16	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rpia20		rpia20		fulltext		Routledge	Serial								P
Journal of Psychosocial Oncology	0734-7332	1540-7586	1997-03	14	4				http://www.tandfonline.com/openurl?genre=journal&stitle=wjpo20		wjpo20		fulltext		Routledge	Serial								P
Journal of Psychotherapy in Independent Practice	1522-9580		2000-03	1	1	2000-12	1	4	http://www.tandfonline.com/openurl?genre=journal&stitle=wzpi20		wzpi20		fulltext		Routledge	Serial							10.1080/wzpp20	P
Journal of Public Child Welfare	1554-8732	1554-8740	2006-08	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wpcw20		wpcw20		fulltext		Routledge	Serial								P
Journal of Public Relations Research	1062-726X	1532-754X	1997-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hprr20		hprr20		fulltext		Routledge	Serial							10.1080/hprr19	P
Journal of Quality Assurance in Hospitality & Tourism	1528-008X	1528-0098	2000-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wqah20		wqah20		fulltext		Routledge	Serial								P
Journal of Quantitative Linguistics	0929-6174	1744-5035	1997-12	4	1-3				http://www.tandfonline.com/openurl?genre=journal&stitle=njql20		njql20		fulltext		Routledge	Serial								P
Journal of Radio & Audio Media	1937-6529	1937-6537	2008-05	15	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hjrs20		hjrs20		fulltext		Routledge	Serial							10.1080/hjrs19	P
Journal of Radio Studies	1095-5046		1997-01	4	1	2007-11	14	2	http://www.tandfonline.com/openurl?genre=journal&stitle=hjrs19		hjrs19		fulltext		Routledge	Serial								P
Journal of Relationship Marketing	1533-2667	1533-2675	2002-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wjrm20		wjrm20		fulltext		Routledge	Serial							10.1080/wzcs20	P
Journal of Religion & Spirituality in Social Work: Social Thought	1542-6432	1542-6440	2004-03	23	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=wrsp20		wrsp20		fulltext		Routledge	Serial							10.1080/wzst20	P
Journal of Religion, Disability & Health	1522-8967	1522-9122	1999-01	3	1	2013-10	17	4	http://www.tandfonline.com/openurl?genre=journal&stitle=wrdh20		wrdh20		fulltext		Routledge	Serial							10.1080/wzrd20	P
Journal of Religion, Spirituality & Aging	1552-8030	1552-8049	2004-05	17	1-2	2004-05	17	1-2	http://www.tandfonline.com/openurl?genre=journal&stitle=wrsa20		wrsa20		fulltext		Routledge	Serial							10.1080/wzrg20	P
Journal of Religion, Spirituality & Aging	1552-8030	1552-8049	2005-10	17	3-4				http://www.tandfonline.com/openurl?genre=journal&stitle=wrsa20		wrsa20		fulltext		Routledge	Serial							10.1080/wzrg20	P
Journal of Religious & Theological Information	1047-7845	1528-6924	2000-06	3	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wrti20		wrti20		fulltext		Routledge	Serial								P
Journal of Religious Gerontology	1050-2289		1997-03	10	1	2004-04	16	3-4	http://www.tandfonline.com/openurl?genre=journal&stitle=wzrg20		wzrg20		fulltext		Routledge	Serial							10.1080/wzra20	P
Journal of Religious and Political Practice	2056-6093	2056-6107	2015-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfrp20		rfrp20		fulltext		Routledge	Serial								P
Journal of Reproductive and Infant Psychology	0264-6838	1469-672X	1997-02	15	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cjri20		cjri20		fulltext		Routledge	Serial								P
Journal of Research in Childhood Education	0256-8543	2150-2641	1997-06	11	2				http://www.tandfonline.com/openurl?genre=journal&stitle=ujrc20		ujrc20		fulltext		Routledge	Serial								P
Journal of Research on Christian Education	1065-6219	1934-4945	1997-03	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=urce20		urce20		fulltext		Routledge	Serial								P
Journal of Research on Computing in Education	0888-6504		1997-03	29	3				http://www.tandfonline.com/openurl?genre=journal&stitle=ujrt19		ujrt19		fulltext		Routledge	Serial							10.1080/ujrt18	P
Journal of Research on Educational Effectiveness	1934-5747	1934-5739	2008-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uree20		uree20		fulltext		Routledge	Serial								P
Journal of Research on Technology in Education	1539-1523	1945-0818	2001-09	34	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ujrt20		ujrt20		fulltext		Routledge	Serial							10.1080/ujrt19	P
Journal of Restaurant & Foodservice Marketing	1052-214X		1997-03	2	2	2001-05	4	3	http://www.tandfonline.com/openurl?genre=journal&stitle=wzrf20		wzrf20		fulltext		Routledge	Serial								P
Journal of Risk Research	1366-9877	1466-4461	1998-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjrr20		rjrr20		fulltext		Routledge	Serial								P
Journal of Russian & East European Psychology	1061-0405	1558-0415	1997-01	35	1				http://www.tandfonline.com/openurl?genre=journal&stitle=mrpo20		mrpo20		fulltext		Routledge	Serial							10.1080/mrpo19	P
Journal of Scandinavian Studies in Criminology and Crime Prevention	1404-3858	1651-2340	2000-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=scri20		scri20		fulltext		Routledge	Serial								P
Journal of School Choice	1558-2159	1558-2167	2006-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wjsc20		wjsc20		fulltext		Routledge	Serial								P
Journal of School Violence	1538-8220	1538-8239	2002-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wjsv20		wjsv20		fulltext		Routledge	Serial								P
Journal of Security Education	1550-7890		2004-11	1	1	2007-12	2	4	http://www.tandfonline.com/openurl?genre=journal&stitle=wzse20		wzse20		fulltext		Routledge	Serial								P
Journal of Sex & Marital Therapy	0092-623X	1521-0715	1997-03	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=usmt20		usmt20		fulltext		Routledge	Serial								P
Journal of Sex Education and Therapy	0161-4576		1997-06	22	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wzjs20		wzjs20		fulltext		Routledge	Serial								P
Journal of Sexual Aggression	1355-2600	1742-6545	1997-01	3	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tjsa20		tjsa20		fulltext		Routledge	Serial								P
Journal of Small Business & Entrepreneurship	0827-6331	2169-2610	1997-01	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsbe20		rsbe20		fulltext		Routledge	Serial							10.1080/rsbe19	P
Journal of Small Fruit & Viticulture	1052-0015		1997-01	4	1-2	1997-08	5	2	http://www.tandfonline.com/openurl?genre=journal&stitle=wzsv20		wzsv20		fulltext		Taylor & Francis	Serial								P
Journal of Social Entrepreneurship	1942-0676	1942-0684	2010-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjse20		rjse20		fulltext		Routledge	Serial								P
Journal of Social Service Research	0148-8376	1540-7314	1997-01	22	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=wssr20		wssr20		fulltext		Routledge	Serial								P
Journal of Social Welfare and Family Law	0964-9069	1469-9621	1997-01	19	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjsf20		rjsf20		fulltext		Routledge	Serial							10.1080/rjsf19	P
Journal of Social Work Education	1043-7797	2163-5811	1997-01	33	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uswe20		uswe20		fulltext		Routledge	Serial							10.1080/uswe19	P
Journal of Social Work Practice	0265-0533	1465-3885	1997-05	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cjsw20		cjsw20		fulltext		Routledge	Serial								P
Journal of Social Work Practice in the Addictions	1533-256X	1533-2578	2001-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wswp20		wswp20		fulltext		Routledge	Serial								P
Journal of Social Work in Disability & Rehabilitation	1536-710X	1536-7118	2002-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wswd20		wswd20		fulltext		Routledge	Serial								P
Journal of Social Work in End-of-Life & Palliative Care	1552-4256	1552-4264	2005-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wswe20		wswe20		fulltext		Routledge	Serial							10.1080/wzlg20	P
Journal of Soil Contamination	1058-8337		1997-01	6	1	2000-11	9	6	http://www.tandfonline.com/openurl?genre=journal&stitle=bssc19		bssc19		fulltext		Taylor & Francis	Serial								P
Journal of Southern African Studies	0305-7070	1465-3893	1997-03	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cjss20		cjss20		fulltext		Routledge	Serial								P
Journal of Southern Europe and the Balkans Online	1461-3190	1469-963X	1999-05	1	1	2008-12	10	3	http://www.tandfonline.com/openurl?genre=journal&stitle=cjsb19		cjsb19		fulltext		Routledge	Serial								P
Journal of Spanish Cultural Studies	1463-6204	1469-9818	2000-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cjsc20		cjsc20		fulltext		Routledge	Serial								P
Journal of Spatial Science	1449-8596	1836-5655	2004-06	49	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tjss20		tjss20		fulltext		Taylor & Francis	Serial							10.1080/tjss19,10.1080/tjss18	P
Journal of Spirituality in Mental Health	1934-9637	1934-9645	2006-06	9	1	2006-07	9	2	http://www.tandfonline.com/openurl?genre=journal&stitle=wspi20		wspi20		fulltext		Routledge	Serial							10.1080/wzaj20	P
Journal of Spirituality in Mental Health	1934-9637	1934-9645	2008-02	9	3-4				http://www.tandfonline.com/openurl?genre=journal&stitle=wspi20		wspi20		fulltext		Routledge	Serial							10.1080/wzaj20	P
Journal of Sport & Tourism	1477-5085	1029-5399	1997-01	4	2				http://www.tandfonline.com/openurl?genre=journal&stitle=rjto20		rjto20		fulltext		Routledge	Serial								P
Journal of Sport Psychology in Action	2152-0704	2152-0712	2010-09	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uspa20		uspa20		fulltext		Routledge	Serial								P
Journal of Sports Sciences	0264-0414	1466-447X	1996-02	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjsp20		rjsp20		fulltext		Routledge	Serial								P
Journal of Statistical Computation and Simulation	0094-9655	1563-5163	1997-01	56	2				http://www.tandfonline.com/openurl?genre=journal&stitle=gscs20		gscs20		fulltext		Taylor & Francis	Serial								P
Journal of Statistical Theory and Practice	1559-8608	1559-8616	2007-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ujsp20		ujsp20		fulltext		Taylor & Francis	Serial								P
Journal of Strategic Marketing	0965-254X	1466-4488	1996-03	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjsm20		rjsm20		fulltext		Routledge	Serial								P
Journal of Strategic Studies	0140-2390	1743-937X	1997-03	20	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fjss20		fjss20		fulltext		Routledge	Serial								P
Journal of Student Affairs Research and Practice	1949-6591	1949-6605	2010-01	47	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uarp20		uarp20		fulltext		Routledge	Serial							10.1080/uarp19	P
Journal of Sulfur Chemistry	1741-5993	1741-6000	2004-02	25	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gsrp20		gsrp20		fulltext		Taylor & Francis	Serial							10.1080/gsrp19,10.1080/gsul20	P
Journal of Sustainable Agriculture	1044-0046	1540-7578	1997-01	9	1	2012-10	36	8	http://www.tandfonline.com/openurl?genre=journal&stitle=wjsa20		wjsa20		fulltext		Taylor & Francis	Serial								P
Journal of Sustainable Cement-Based Materials	2165-0373	2165-0381	2012-06	1	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=tscm20		tscm20		fulltext		Taylor & Francis	Serial								P
Journal of Sustainable Finance & Investment	2043-0795	2043-0809	2011-02	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tsfi20		tsfi20		fulltext		Taylor & Francis	Serial								P
Journal of Sustainable Forestry	1054-9811	1540-756X	1997-03	4	3-4				http://www.tandfonline.com/openurl?genre=journal&stitle=wjsf20		wjsf20		fulltext		Taylor & Francis	Serial								P
Journal of Sustainable Tourism	0966-9582	1747-7646	1997-04	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsus20		rsus20		fulltext		Routledge	Serial								P
Journal of Systematic Palaeontology	1477-2019	1478-0941	2003-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tjsp20		tjsp20		fulltext		Taylor & Francis	Serial								P
Journal of Teaching in International Business	0897-5930	1528-6991	1997-05	8	4				http://www.tandfonline.com/openurl?genre=journal&stitle=wtib20		wtib20		fulltext		Routledge	Serial								P
Journal of Teaching in Social Work	0884-1233	1540-7349	1997-06	15	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=wtsw20		wtsw20		fulltext		Routledge	Serial								P
Journal of Teaching in Travel & Tourism	1531-3220	1531-3239	2001-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wttt20		wttt20		fulltext		Routledge	Serial								P
Journal of Teaching in the Addictions	1533-2705	1533-2713	2002-02	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wtad20		wtad20		fulltext		Routledge	Serial								P
Journal of Technology in Human Services	1522-8835	1522-8991	1999-08	16	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wths20		wths20		fulltext		Routledge	Serial							10.1080/wzch20	P
Journal of Textile Design Research and Practice	2051-1787	2051-1795	2013-11	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rftd20		rftd20		fulltext		Routledge	Serial								P
Journal of Thermal Stresses	0149-5739	1521-074X	1997-01	20	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uths20		uths20		fulltext		Taylor & Francis	Serial								P
Journal of Tourism History	1755-182X	1755-1838	2009-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjth20		rjth20		fulltext		Routledge	Serial								P
Journal of Tourism and Cultural Change	1476-6825	1747-7654	2003-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rtcc20		rtcc20		fulltext		Routledge	Serial								P
Journal of Toxicology and Environmental Health	0098-4108		1996-01	47	1	1997-12	52	6	http://www.tandfonline.com/openurl?genre=journal&stitle=uteh19		uteh19		fulltext		Taylor & Francis	Serial								P
Journal of Toxicology and Environmental Health, Part A	1528-7394	1087-2620	1998-01	53	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uteh20		uteh20		fulltext		Taylor & Francis	Serial							10.1080/uteh19	P
Journal of Toxicology and Environmental Health, Part B	1093-7404	1521-6950	1998-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uteb20		uteb20		fulltext		Taylor & Francis	Serial							10.1080/uteh19	P
Journal of Trace and Microprobe Techniques	0733-4680		2001-03	19	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ltma20		ltma20		fulltext		Taylor & Francis	Serial								P
Journal of Transatlantic Studies	1479-4012	1754-1018	2003-01	1	sup1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjts20		rjts20		fulltext		Routledge	Serial								P
Journal of Transnational Management	1547-5778	1547-5786	2004-08	10	1	2004-08	10	1	http://www.tandfonline.com/openurl?genre=journal&stitle=wtnm20		wtnm20		fulltext		Routledge	Serial							10.1080/wzmd20	P
Journal of Transnational Management	1547-5778	1547-5786	2005-09	10	2				http://www.tandfonline.com/openurl?genre=journal&stitle=wtnm20		wtnm20		fulltext		Routledge	Serial							10.1080/wzmd20	P
